# STROOP MappingJP.map @ dev, fetched 2026-08-15
0x13000000	bhvStarDoor
0x130009e0	bhvCoinSparkles
0x13000a14	bhvGoldenCoinSparkles
0x13000a34	bhvWallTinyStarParticle
0x13000a54	bhvVertStarParticleSpawner
0x13000a78	bhvPoundTinyStarParticle
0x13000a98	bhvHorStarParticleSpawner
0x13000abc	bhvPunchTinyTriangle
0x13000ad8	bhvTriangleParticleSpawner
0x13000afc	bhvDoorWarp
0x13000b0c	bhvDoor
0x13000b58	bhvGrindel
0x13000b8c	bhvThwomp2
0x13000bc8	bhvThwomp
0x13000c04	bhvTumblingBridgePlatform
0x13000c28	bhvWfTumblingBridge
0x13000c44	bhvBbhTumblingBridge
0x13000c64	bhvLllTumblingBridge
0x13000c84	bhvFlame
0x13000cc8	bhvAnotherElavator
0x13000cfc	bhvRrElevatorPlatform
0x13000d30	bhvHmcElevatorPlatform
0x13000d6c	bhvWaterMist
0x13000d98	bhvBreathParticleSpawner
0x13000db4	bhvBreakBoxTriangle
0x13000dd8	bhvWaterMist2
0x13000dfc	bhvUnused0DFC
0x13000e24	bhvMistCircParticleSpawner
0x13000e3c	bhvDirtParticleSpawner
0x13000e58	bhvSnowParticleSpawner
0x13000e70	bhvWind
0x13000e88	bhvEndToad
0x13000eac	bhvEndPeach
0x13000ed0	bhvUnusedParticleSpawn
0x13000f08	bhvUkiki
0x13000f14	bhvUkikiCageChild
0x13000f2c	bhvUkikiCageStar
0x13000f48	bhvUkikiCage
0x13000f9c	bhvBitfsSinkingPlatforms
0x13000fc8	bhvBitfsSinkingCagePlatform
0x13001000	bhvDddMovingPole
0x13001030	bhvBitfsTiltingInvertedPyramid
0x13001064	bhvSquishablePlatform
0x13001098	bhvCutOutObject
0x130010a8	bhvBetaMovingFlamesSpawn
0x130010b8	bhvBetaMovingFlames
0x130010d8	bhvRrRotatingBridgePlatform
0x13001108	bhvFlamethrower
0x13001124	bhvFlamethrowerFlame
0x13001168	bhvBouncingFireball
0x13001184	bhvBouncingFireballFlame
0x130011d0	bhvBowserShockWave
0x130011ec	bhvFireParticleSpawner
0x13001214	bhvBlackSmokeMario
0x13001254	bhvBlackSmokeBowser
0x1300127c	bhvBlackSmokeUpward
0x13001298	bhvBetaFishSplashSpawner
0x130012b4	bhvSpindrift
0x130012f4	bhvTowerPlatformGroup
0x13001318	bhvWfSlidingTowerPlatform
0x13001340	bhvWfElevatorTowerPlatform
0x13001368	bhvWfSolidTowerPlatform
0x13001390	bhvLeafParticleSpawner
0x130013a8	bhvTreeSnow
0x130013c4	bhvTreeLeaf
0x130013dc	bhvAnotherTiltingPlatform
0x13001408	bhvSquarishPathMoving
0x1300142c	bhvPiranhaPlantBubble
0x13001448	bhvPiranhaPlantWakingBubbles
0x13001468	bhvFloorSwitchAnimatesObject
0x13001478	bhvFloorSwitchGrills
0x13001484	bhvFloorSwitchHardcodedModel
0x130014ac	bhvFloorSwitchHiddenObjects
0x130014bc	bhvHiddenObject
0x130014e0	bhvBreakableBox
0x13001518	bhvPushableMetalBox
0x13001548	bhvHeaveHo
0x130015a4	bhvHeaveHoThrowMario
0x130015c0	bhvCcmTouchedStarSpawn
0x130015e4	bhvUnusedPoundablePlatform
0x13001608	bhvBetaTrampolineTop
0x13001634	bhvBetaTrampolineSpring
0x13001650	bhvJumpingBox
0x1300167c	bhvBooCage
0x130016ac	bhvStub
0x130016b8	bhvIgloo
0x130016e4	bhvBowserKey
0x13001714	bhvGrandStar
0x13001744	bhvBetaBooKey
0x13001778	bhvAlphaBooKey
0x1300179c	bhvBulletBill
0x130017f4	bhvWhitePuffSmoke
0x13001820	bhvUnused1820
0x13001828	bhvBowserTailAnchor
0x13001850	bhvBowser
0x130018cc	bhvBowserBodyAnchor
0x13001904	bhvBowserFlameSpawn
0x13001920	bhvTiltingBowserLavaPlatform
0x13001958	bhvFallingBowserPlatform
0x13001984	bhvBlueBowserFlame
0x130019c8	bhvFlameFloatingLanding
0x13001a0c	bhvBlueFlamesGroup
0x13001a30	bhvFlameBouncing
0x13001a74	bhvFlameMovingForwardGrowing
0x13001aa4	bhvFlameBowser
0x13001ae8	bhvFlameLargeBurningOut
0x13001b2c	bhvBlueFish
0x13001b54	bhvTankFishGroup
0x13001b70	bhvCheckerboardElevatorGroup
0x13001b88	bhvCheckerboardPlatformSub
0x13001bb4	bhvBowserKeyUnlockDoor
0x13001bd4	bhvBowserKeyCourseExit
0x13001bf4	bhvInvisibleObjectsUnderBridge
0x13001c04	bhvWaterLevelPillar
0x13001c34	bhvDddWarp
0x13001c58	bhvMoatGrills
0x13001c7c	bhvClockMinuteHand
0x13001c8c	bhvClockHourHand
0x13001cb0	bhvMacroUkiki
0x13001d0c	bhvStub1D0C
0x13001d14	bhvLllRotatingHexagonalPlatform
0x13001d40	bhvLllSinkingRockBlock
0x13001d70	bhvStub1D70
0x13001d78	bhvLllMovingOctagonalMeshPlatform
0x13001da4	bhvSnowBall
0x13001da8	bhvLllRotatingBlockWithFireBars
0x13001dcc	bhvLllRotatingHexFlame
0x13001e04	bhvLllWoodPiece
0x13001e30	bhvLllFloatingWoodBridge
0x13001e4c	bhvVolcanoFlames
0x13001e6c	bhvLllRotatingHexagonalRing
0x13001e94	bhvLllSinkingRectangularPlatform
0x13001ec4	bhvLllSinkingSquarePlatforms
0x13001ef8	bhvLllTiltingInvertedPyramid
0x13001f30	bhvUnused1F30
0x13001f3c	bhvKoopaShell
0x13001f68	bhvKoopaShellFlame
0x13001f90	bhvToxBox
0x13001fbc	bhvPiranhaPlant
0x13002018	bhvLllHexagonalMesh
0x13002038	bhvLllBowserPuzzlePiece
0x13002068	bhvLllBowserPuzzle
0x13002088	bhvTuxiesMother
0x130020d8	bhvPenguinBaby
0x130020e0	bhvUnused20E0
0x130020e8	bhvSmallPenguin
0x1300213c	bhvFish2
0x1300214c	bhvFish3
0x1300215c	bhvLargeFishGroup
0x13002178	bhvFish
0x13002194	bhvWdwExpressElevator
0x130021c0	bhvWdwExpressElevatorPlatform
0x130021e4	bhvChirpChirp
0x130021f4	bhvChirpChirpUnused
0x1300220c	bhvBub
0x13002250	bhvExclamationBox
0x1300227c	bhvRotatingExclamationMark
0x1300229c	bhvSoundSpawner
0x130022b8	bhvRockSolid
0x130022d8	bhvBowserSubDoor
0x13002308	bhvBowsersSub
0x13002338	bhvSushiShark
0x13002388	bhvSushiSharkCollisionChild
0x130023a4	bhvJrbSlidingBox
0x130023d0	bhvShipPart3
0x130023ec	bhvInSunkenShip3
0x1300241c	bhvSunkenShipPart
0x1300243c	bhvSunkenShipSetRotation
0x1300244c	bhvSunkenShipPart2
0x1300246c	bhvInSunkenShip
0x13002480	bhvInSunkenShip2
0x130024ac	bhvMistParticleSpawner
0x130024dc	bhvWhitePuff1
0x13002500	bhvWhitePuff2
0x13002528	bhvWhitePuffSmoke2
0x13002558	bhvPurpleSwitchHiddenBoxes
0x13002568	bhvBlueCoinSwitch
0x13002588	bhvHiddenBlueCoin
0x130025c0	bhvOpenableCageDoor
0x130025e0	bhvOpenableGrill
0x130025f8	bhvWaterLevelDiamond
0x13002620	bhvInitializeChangingWaterLevel
0x13002634	bhvTweesterSandParticle
0x13002650	bhvTweester
0x13002684	bhvMerryGoRoundBooManager
0x1300269c	bhvAnimatedTexture
0x130026d4	bhvBooInCastle
0x13002710	bhvBooWithCage
0x13002768	bhvBalconyBigBoo
0x1300277c	bhvMerryGoRoundBigBoo
0x13002790	bhvGhostHuntBigBoo
0x130027d0	bhvCourtyardBooTriplet
0x130027e4	bhvBoo
0x130027f4	bhvMerryGoRoundBoo
0x13002804	bhvGhostHuntBoo
0x1300286c	bhvHiddenStaircaseStep
0x13002898	bhvBooBossSpawnedBridge
0x130028cc	bhvBbhTiltingTrapPlatform
0x130028fc	bhvHauntedBookshelf
0x1300292c	bhvMeshElevator
0x13002968	bhvMerryGoRound
0x13002998	bhvInsideCannon
0x1300299c	bhvBetaBowserAnchor
0x130029cc	bhvStaticCheckeredPlatform
0x130029f8	bhvUnused2A10
0x13002a08	bhvUnusedFakeStar
0x13002a30	bhvStaticObject
0x13002a3c	bhvUnused2A54
0x13002a44	bhvCastleFloorTrap
0x13002a64	bhvFloorTrapInCastle
0x13002a8c	bhvTree
0x13002ab8	bhvSparkle
0x13002ad8	bhvSparkleSpawn
0x13002af0	bhvSparkleParticleSpawner
0x13002b44	bhvScuttlebug
0x13002b88	bhvScuttlebugSpawn
0x13002ba0	bhvWhompKingBoss
0x13002bb4	bhvSmallWhomp
0x13002bfc	bhvWaterSplash
0x13002c48	bhvWaterDroplet
0x13002c64	bhvWaterDropletSplash
0x13002c8c	bhvBubbleSplash
0x13002cbc	bhvIdleWaterWave
0x13002d04	bhvObjectWaterSplash
0x13002d2c	bhvShallowWaterWave
0x13002d58	bhvShallowWaterSplash
0x13002d8c	bhvObjectWaveTrail
0x13002d9c	bhvWaveTrail
0x13002de0	bhvTinyStrongWindParticle
0x13002dfc	bhvStrongWindParticle
0x13002e18	bhvSLSnowmanWind
0x13002e34	bhvSLWalkingPenguin
0x13002e84	bhvYellowBall
0x13002ea0	bhvMario
0x13002ed8	bhvToadMessage
0x13002f20	bhvUnlockDoorStar
0x13002f40	bhvInstantActiveWarp
0x13002f44	bhvAirborneWarp
0x13002f48	bhvHardAirKnockBackWarp
0x13002f4c	bhvSpinAirborneCircleWarp
0x13002f50	bhvDeathWarp
0x13002f54	bhvSpinAirborneWarp
0x13002f58	bhvFlyingWarp
0x13002f5c	bhvPaintingStarCollectWarp
0x13002f60	bhvPaintingDeathWarp
0x13002f64	bhvAirborneDeathWarp
0x13002f68	bhvAirborneStarCollectWarp
0x13002f6c	bhvLaunchStarCollectWarp
0x13002f70	bhvLaunchDeathWarp
0x13002f74	bhvSwimmingWarp
0x13002f80	bhvRandomAnimatedTexture
0x13002fa0	bhvYellowBackgroundInMenu
0x13002fc4	bhvMenuButton
0x13002fe8	bhvMenuButtonManager
0x1300300c	bhvActSelectorStarType
0x13003028	bhvActSelector
0x13003048	bhvMovingYellowCoin
0x13003084	bhvMovingBlueCoin
0x130030b4	bhvBlueCoinSliding
0x130030e4	bhvBlueCoinJumping
0x13003114	bhvSeaweed
0x13003138	bhvSeaweedBundle
0x13003154	bhvBobomb
0x1300318c	bhvBobombFuseSmoke
0x130031bc	bhvBobombBuddy
0x13003208	bhvBobombBuddyOpensCannon
0x13003254	bhvCannonClosed
0x13003288	bhvWhirlpool
0x130032a8	bhvJetStream
0x130032c0	bhvMessagePanel
0x13003304	bhvSignOnWall
0x13003334	bhvHomingAmp
0x13003368	bhvCirclingAmp
0x1300339c	bhvButterfly
0x130033cc	bhvHoot
0x13003400	bhvBetaHoldableObject
0x13003434	bhvCarrySomething1
0x1300343c	bhvCarrySomething2
0x13003444	bhvCarrySomething3
0x1300344c	bhvCarrySomething4
0x13003454	bhvCarrySomething5
0x1300345c	bhvCarrySomething6
0x13003464	bhvObjectBubble
0x130034a4	bhvObjectWaterWave
0x130034f0	bhvExplosion
0x13003538	bhvBobombBullyDeathSmoke
0x13003568	bhvSmoke
0x13003590	bhvBobombExplosionBubble
0x130035e0	bhvBobombExplosionBubble3600
0x130035f4	bhvRespawner
0x1300360c	bhvSmallBully
0x13003640	bhvBigBully
0x13003674	bhvBigBullyWithMinions
0x130036a8	bhvSmallChillBully
0x130036e0	bhvBigChillBully
0x13003718	bhvJetStreamRingSpawner
0x13003730	bhvJetStreamWaterRing
0x13003778	bhvMantaRayWaterRing
0x130037c0	bhvMantaRayRingManager
0x130037cc	bhvBowserBomb
0x130037fc	bhvBowserBombExplosion
0x13003820	bhvBowserBombSmoke
0x13003848	bhvCelebrationStar
0x13003868	bhvCelebrationStarSparkle
0x13003890	bhvStarKeyCollectionPuffSpawner
0x130038b0	bhvLllDrawbridgeSpawner
0x130038c8	bhvLllDrawbridge
0x130038f0	bhvSmallBomp
0x13003920	bhvLargeBomp
0x13003950	bhvWfSlidingPlatform
0x13003980	bhvMoneybag
0x130039b4	bhvMoneybagHidden
0x130039e8	bhvPitBowlingBall
0x13003a10	bhvFreeBowlingBall
0x13003a38	bhvBowlingBall
0x13003a60	bhvTtmBowlingBallSpawner
0x13003a84	bhvBobBowlingBallSpawner
0x13003aa8	bhvThiBowlingBallSpawner
0x13003ac0	bhvRrCruiserWing
0x13003ae0	bhvSpindel
0x13003b10	bhvSslMovingPyramidWall
0x13003b40	bhvPyramidElevator
0x13003b78	bhvPyramidElevatorTrajectoryMarkerBall
0x13003b94	bhvPyramidTop
0x13003bcc	bhvPyramidTopFragment
0x13003bec	bhvPyramidPillarTouchDetector
0x13003c10	bhvWaterfallSoundLoop
0x13003c24	bhvVolcanoSoundLoop
0x13003c38	bhvCastleFlagWaving
0x13003c5c	bhvBirdsSoundLoop
0x13003c70	bhvAmbientSounds
0x13003c84	bhvSandSoundLoop
0x13003c98	bhvHiddenAt120Stars
0x13003cc4	bhvSnowmansBottom
0x13003cec	bhvSnowmansHead
0x13003d14	bhvSnowmansBodyCheckpoint
0x13003d2c	bhvBigSnowmanWhole
0x13003d54	bhvBigBoulder
0x13003d80	bhvBigBoulderGenerator
0x13003d98	bhvWingCap
0x13003db8	bhvMetalCap
0x13003dd8	bhvNormalCap
0x13003dfc	bhvVanishCap
0x13003e1c	bhvStar
0x13003e44	bhvStarSpawnCoordinates
0x13003e6c	bhvHiddenRedCoinStar
0x13003e8c	bhvRedCoin
0x13003ec4	bhvBowserCourseRedCoinStar
0x13003edc	bhvHiddenStar
0x13003efc	bhvHiddenStarTrigger
0x13003f20	bhvTtmRollingLog
0x13003f58	bhvLllVolcanoFallingTrap
0x13003f84	bhvLllRollingLog
0x13003fbc	bhv1upWalking
0x13003ff0	bhv1upRunningAway
0x13004024	bhv1upSliding
0x1300405c	bhv1Up
0x13004094	bhv1upJumpOnApproach
0x130040cc	bhvHidden1up
0x13004104	bhvHidden1upTrigger
0x13004128	bhvHidden1upInPole
0x13004160	bhvHidden1upInPoleTrigger
0x13004184	bhvHidden1upInPoleSpawner
0x1300419c	bhvControllablePlatform
0x130041d0	bhvControllablePlatformSub
0x130041f8	bhvBreakableBoxSmall
0x13004224	bhvSlidingSnowMound
0x13004250	bhvSnowMoundSpawn
0x13004264	bhvWdwSquareFloatingPlatform
0x13004294	bhvWdwRectangularFloatingPlatform
0x130042c4	bhvJrbFloatingPlatform
0x130042f4	bhvArrowLift
0x13004328	bhvOrangeNumber
0x13004350	bhvMantaRay
0x13004380	bhvFallingPillar
0x130043a4	bhvFallingPillarHitbox
0x130043c0	bhvPillarBase
0x130043e0	bhvJrbFloatingBox
0x1300440c	bhvDecorativePendulum
0x1300442c	bhvTreasureChestsShip
0x13004450	bhvTreasureChestsJrb
0x13004474	bhvTreasureChests
0x13004498	bhvTreasureChestBottom
0x130044c0	bhvTreasureChestTop
0x130044dc	bhvMips
0x13004518	bhvYoshi
0x13004560	bhvKoopa
0x130045b0	bhvKoopaRaceEndpoint
0x130045d8	bhvKoopaFlag
0x13004614	bhvPokey
0x13004648	bhvPokeyBodyPart
0x13004678	bhvSwoop
0x130046bc	bhvFlyGuy
0x1300470c	bhvGoomba
0x13004750	bhvGoombaTripletSpawner
0x1300476c	bhvChainChomp
0x130047c4	bhvChainChompChainPart
0x130047fc	bhvWoodenPost
0x13004848	bhvChainChompGate
0x13004878	bhvWigglerHead
0x130048c0	bhvWigglerBody
0x130048f8	bhvEnemyLakitu
0x13004934	bhvCameraLakitu
0x13004968	bhvCloud
0x1300498c	bhvCloudPart
0x130049a8	bhvSpiny
0x130049e0	bhvMontyMole
0x13004a38	bhvMontyMoleHole
0x13004a58	bhvMontyMoleRock
0x13004a90	bhvPlatformOnTrack
0x13004ad4	bhvTrackBall
0x13004afc	bhvSeesawPlatform
0x13004b24	bhvFerrisWheelAxle
0x13004b4c	bhvFerrisWheelPlatform
0x13004b6c	bhvWaterBombSpawner
0x13004b88	bhvWaterBomb
0x13004bb4	bhvWaterBombShadow
0x13004bd0	bhvTTCRotatingSolid
0x13004c04	bhvTTCPendulum
0x13004c3c	bhvTTCTreadmill
0x13004c74	bhvTTCMovingBar
0x13004cac	bhvTTCCog
0x13004cd8	bhvTTCPitBlock
0x13004d08	bhvTTCElevator
0x13004d44	bhvTTC2DRotator
0x13004d70	bhvTTCSpinner
0x13004d9c	bhvMrBlizzard
0x13004de8	bhvMrBlizzardSnowball
0x13004e2c	bhvSlidingPlatform2
0x13004e58	bhvOctagonalPlatformRotating
0x13004e80	bhvAnimatesOnFloorSwitchPress
0x13004eac	bhvActivatedBackAndForthPlatform
0x13004ed8	bhvRecoveryHeart
0x13004ef0	bhvWaterBombCannon
0x13004f08	bhvCannonBarrelBubbles
0x13004f20	bhvUnagi
0x13004f58	bhvUnagiSubobject
0x13004f70	bhvDorrie
0x13004fb4	bhvHauntedChair
0x13005004	bhvMadPiano
0x1300504c	bhvFlyingBookend
0x13005094	bhvBookendSpawn
0x130050b4	bhvHauntedBookshelfManager
0x130050d4	bhvBookSwitch
0x13005100	bhvFirePiranhaPlant
0x13005138	bhvSmallPiranhaFlame
0x1300516c	bhvFireSpitter
0x1300518c	bhvFlyguyFlame
0x130051c0	bhvSnufit
0x130051fc	bhvSnufitBalls
0x1300523c	bhvHorizontalGrindel
0x13005294	bhvEyerokBoss
0x130052b0	bhvEyerokHand
0x130052f0	bhvKlepto
0x13005334	bhvBird
0x13005360	bhvRacingPenguin
0x130053a4	bhvPenguinRaceFinishLine
0x130053bc	bhvPenguinRaceShortcutCheck
0x130053d4	bhvCoffinSpawner
0x130053f4	bhvCoffin
0x13005420	bhvClamShell
0x13005448	bhvSkeeter
0x13005480	bhvSkeeterWave
0x13005498	bhvSwingPlatform
0x130054cc	bhvDonutPlatformSpawner
0x130054e4	bhvDonutPlatform
0x13005508	bhvDDDPole
0x1300554c	bhvRedCoinStarMarker
0x13005578	bhvTripletButterfly
0x130055bc	bhvBubba
0x130055f0	bhvBeginningLakitu
0x13005618	bhvBeginningPeach
0x1300563c	bhvEndBirds1
0x13005660	bhvEndBirds2
0x13005684	bhvIntroScene
